rel_time,rtt
48.21491599082947,24.8
48.41508388519287,23.8
48.6200110912323,26.6
48.820003032684326,25.5
49.020089864730835,24.7
49.2200710773468,23.6
49.425108909606934,27.7
49.626933097839355,28.4
49.82501006126404,25.7
50.02502799034119,24.7
50.22506904602051,23.7
50.43021106719971,27.7
50.63022589683533,26.7
50.83027195930481,25.7
51.02783203125,22.1
51.22757887840271,21.4
51.434908866882324,28.1
51.63714909553528,30.0
51.83025288581848,23.7
52.03987908363342,32.3
52.23491096496582,26.7
52.43495297431946,25.7
52.63551592826843,25.2
52.83490204811096,25.1
53.03544497489929,25.1
53.2348358631134,24.1
53.43503499031067,23.9
53.639923095703125,27.5
53.84001588821411,27.7
54.03987193107605,26.4
54.23993802070618,25.8
54.44000005722046,24.7
54.64005398750305,23.7
54.84004592895508,23.6
55.047515869140625,30.0
55.24995708465576,32.0
55.450018882751465,31.8
55.6498920917511,30.6
55.850101947784424,30.9
56.05004286766052,30.6
56.25000190734863,29.6
56.45024108886719,28.9
56.649970054626465,28.2
56.84994292259216,28.7
57.04987692832947,27.6
57.24738001823425,24.2
57.434946060180664,11.2
57.734843015670776,111.0
57.91481399536133,90.7
58.04981994628906,24.8
58.254926919937134,28.8
58.44989490509033,22.7
58.65480399131775,26.6
58.85999798774719,31.9
59.04978895187378,20.5
59.247288942337036,17.2
59.457239866256714,26.7
59.64726209640503,15.7
59.85722589492798,25.7
60.047260999679565,14.8
60.24729108810425,13.7
60.45228695869446,17.7
60.662309885025024,26.7
60.84727501869202,10.7
61.05724787712097,19.7
61.257261991500854,18.7
61.46728587150574,27.7
61.65225386619568,11.7
61.86729907989502,25.7
62.05728507041931,14.7
62.257293939590454,13.7
62.46734690666199,22.8
62.65728187561035,11.6
62.87493586540222,28.4
63.06723189353943,20.0
63.26728391647339,19.8
63.46724200248718,18.7
63.68229103088379,32.8
63.86727690696716,16.7
64.08225393295288,30.7
64.27227306365967,19.7
64.48228907585144,28.7
64.6672260761261,12.7
64.88226008415222,26.7
65.0722279548645,15.7
65.28730297088623,29.8
65.48729586601257,28.7
65.67226886749268,12.6
65.88230609893799,21.7
66.07223606109619,10.6
66.28229689598083,19.8
66.48227286338806,18.7
66.68724489212036,22.7
66.8872480392456,21.7
67.09221196174622,25.7
67.28725504875183,19.8
67.49224400520325,23.7
67.68231391906738,12.8
67.89227390289307,21.6
68.08222508430481,10.7
68.28723406791687,14.7
68.48727607727051,13.8
68.69221901893616,17.6
68.8872139453888,11.7
69.09228706359863,15.8
69.29738688468933,19.8
69.49724793434143,18.6
69.7022659778595,22.7
69.90222597122192,21.7
70.10723304748535,25.7
70.2972719669342,14.7
70.51228904724121,28.7
70.71231389045715,27.7
70.91236209869385,26.7
71.1122670173645,25.6
71.31225991249084,24.7
71.50726389884949,18.6
71.70725703239441,17.7
71.91969299316406,29.1
72.11225605010986,21.3
72.31222009658813,20.7
72.50722908973694,14.7
72.71231198310852,18.8
72.92227101325989,27.6
73.12221097946167,26.6
73.31227087974548,15.7
73.52226400375366,24.6
73.71221590042114,13.7
73.92228388786316,22.8
74.12228202819824,21.7
74.32720804214478,25.6
74.52217602729797,19.7
74.72216892242432,18.7
74.92718291282654,22.7
75.12715601921082,21.7
75.3272008895874,20.7
75.5272650718689,19.8
75.72721290588379,18.7
75.92717289924622,17.7
76.1322169303894,21.8
76.32228803634644,10.8
76.53227996826172,19.6
76.72721195220947,13.5
76.9371829032898,22.7
77.12720203399658,11.7
77.33716487884521,20.7
77.53717088699341,19.7
77.74217295646667,23.7
77.9371690750122,17.7
78.14228296279907,21.8
78.34221386909485,20.6
78.5522050857544,29.6
78.73720693588257,13.7
78.94718408584595,22.7
79.13721108436584,11.8
79.34716701507568,20.7
79.55218696594238,24.7
79.74715304374695,18.6
79.96225905418396,32.8
80.15225005149841,21.7
80.36218094825745,30.6
80.54721593856812,14.8
80.75214409828186,18.7
80.96222996711731,27.8
81.16225004196167,26.7
81.36227107048035,25.7
81.55219507217407,14.7
81.76220798492432,23.7
81.95222902297974,12.7
82.16221594810486,21.6
82.3521580696106,10.6
82.56218886375427,19.6
82.76220202445984,18.6
82.97217893600464,27.6
83.16220092773438,16.7
83.37223505973816,25.7
83.56225490570068,14.6
83.77218294143677,23.6
83.96975588798523,20.3
84.17217898368835,22.1
84.36217188835144,11.7
84.5721709728241,20.6
84.77219796180725,19.7
84.96719598770142,13.7
85.17223501205444,17.7
85.36719608306885,11.7
85.57217597961426,15.6
85.77716994285583,19.7
85.97718405723572,18.7
86.1772050857544,17.7
86.38715195655823,26.7
86.57217597961426,10.7
86.78721809387207,24.7
86.97715306282043,13.6
87.18717288970947,22.7
87.37714409828186,11.6
87.58714008331299,20.7
87.7871789932251,19.7
87.98719906806946,18.6
88.18716502189636,17.8
