rel_time,val,label,proto,direction
56.63376498222351,99.91480290526769,UDP 100M DL (TX),udp,TX
57.633848905563354,99.99700132800477,UDP 100M DL (TX),udp,TX
58.63383889198303,100.00459985692758,UDP 100M DL (TX),udp,TX
59.633857011795044,99.99710265397972,UDP 100M DL (TX),udp,TX
60.633846044540405,100.00679937827339,UDP 100M DL (TX),udp,TX
61.63384199142456,100.00099976519422,UDP 100M DL (TX),udp,TX
62.63389587402344,99.99669735131204,UDP 100M DL (TX),udp,TX
63.633888959884644,99.99269814379383,UDP 100M DL (TX),udp,TX
64.63392210006714,100.01730076563742,UDP 100M DL (TX),udp,TX
65.63391709327698,99.9955947062707,UDP 100M DL (TX),udp,TX
66.63392090797424,99.98840109337056,UDP 100M DL (TX),udp,TX
67.63389301300049,100.01090064122583,UDP 100M DL (TX),udp,TX
68.63384795188904,99.99660198645596,UDP 100M DL (TX),udp,TX
69.63384199142456,100.01990293943895,UDP 100M DL (TX),udp,TX
70.63391494750977,99.97239749453101,UDP 100M DL (TX),udp,TX
71.63383889198303,100.00599466411846,UDP 100M DL (TX),udp,TX
72.63384294509888,99.99639933674071,UDP 100M DL (TX),udp,TX
73.63383889198303,100.00209645442725,UDP 100M DL (TX),udp,TX
74.63388204574585,100.01020316434018,UDP 100M DL (TX),udp,TX
75.6338438987732,99.996,UDP 100M DL (TX),udp,TX
76.6338438987732,99.996,UDP 100M DL (TX),udp,TX
77.6338438987732,100.00660266917293,UDP 100M DL (TX),udp,TX
78.63384199142456,99.98599929520802,UDP 100M DL (TX),udp,TX
79.63383793830872,99.99819854862672,UDP 100M DL (TX),udp,TX
80.63391995429993,100.01559579839997,UDP 100M DL (TX),udp,TX
81.63393187522888,99.99729934616431,UDP 100M DL (TX),udp,TX
82.63391900062561,100.00370120513183,UDP 100M DL (TX),udp,TX
83.63384199142456,99.99119628857324,UDP 100M DL (TX),udp,TX
84.63388991355896,99.99939744428058,UDP 100M DL (TX),udp,TX
85.63385605812073,100.00939640751253,UDP 100M DL (TX),udp,TX
86.63392996788025,99.98689921102691,UDP 100M DL (TX),udp,TX
87.63391709327698,100.0063046265558,UDP 100M DL (TX),udp,TX
88.6339180469513,99.99160168364617,UDP 100M DL (TX),udp,TX
89.63385796546936,100.007800818419,UDP 100M DL (TX),udp,TX
90.6338438987732,99.99710194488561,UDP 100M DL (TX),udp,TX
91.63393688201904,100.01370256948755,UDP 100M DL (TX),udp,TX
92.63386392593384,99.98750115051669,UDP 100M DL (TX),udp,TX
93.63384509086609,100.01540503645072,UDP 100M DL (TX),udp,TX
94.63385891914368,99.99719801979077,UDP 100M DL (TX),udp,TX
95.63384699821472,99.97999828405457,UDP 100M DL (TX),udp,TX
96.63390302658081,100.0107992978264,UDP 100M DL (TX),udp,TX
97.63385891914368,99.99919981652629,UDP 100M DL (TX),udp,TX
98.63393092155457,99.98679789519173,UDP 100M DL (TX),udp,TX
99.63391900062561,100.01690134502189,UDP 100M DL (TX),udp,TX
100.6339180469513,99.98840109337056,UDP 100M DL (TX),udp,TX
101.63388991355896,100.00010080369431,UDP 100M DL (TX),udp,TX
102.63384890556335,100.01230525676229,UDP 100M DL (TX),udp,TX
103.6338939666748,99.99089837063858,UDP 100M DL (TX),udp,TX
104.63384103775024,100.0090030105628,UDP 100M DL (TX),udp,TX
105.63391900062561,100.0064,UDP 100M DL (TX),udp,TX
106.63391900062561,99.996,UDP 100M DL (TX),udp,TX
107.63391900062561,99.995904636474,UDP 100M DL (TX),udp,TX
108.63391995429993,99.99340173318795,UDP 100M DL (TX),udp,TX
109.63384199142456,99.99570198958519,UDP 100M DL (TX),udp,TX
110.63384509086609,100.00510055246826,UDP 100M DL (TX),udp,TX
111.63385796546936,99.99750199952746,UDP 100M DL (TX),udp,TX
112.63384294509888,99.98839532992595,UDP 100M DL (TX),udp,TX
113.63391900062561,100.01400065620165,UDP 100M DL (TX),udp,TX
114.63384294509888,99.995904636474,UDP 100M DL (TX),udp,TX
115.6338438987732,100.02259748160506,UDP 100M DL (TX),udp,TX
116.63388991355896,99.97559925367534,UDP 100M DL (TX),udp,TX
117.6338860988617,100.00300243324119,UDP 100M DL (TX),udp,TX
118.63391995429993,100.00370120513183,UDP 100M DL (TX),udp,TX
119.63384294509888,99.99819854862672,UDP 100M DL (TX),udp,TX
120.63392496109009,100.00460134600057,UDP 100M DL (TX),udp,TX
121.63383889198303,100.00850232801196,UDP 100M DL (TX),udp,TX
122.63392210006714,99.96799974517008,UDP 100M DL (TX),udp,TX
123.63388991355896,100.0219986684107,UDP 100M DL (TX),udp,TX
124.63383793830872,100.00179843866856,UDP 100M DL (TX),udp,TX
125.63388395309448,99.99939744428058,UDP 100M DL (TX),udp,TX
126.63385009765625,99.9949033304326,UDP 100M DL (TX),udp,TX
127.63386106491089,100.01000439070431,UDP 100M DL (TX),udp,TX
128.63392901420593,99.9989980835936,UDP 100M DL (TX),udp,TX
129.63389897346497,99.9936040465339,UDP 100M DL (TX),udp,TX
130.63392305374146,99.9955947062707,UDP 100M DL (TX),udp,TX
131.63392686843872,100.00450000482839,UDP 100M DL (TX),udp,TX
132.63384199142456,100.05190016691144,UDP 100M DL (TX),udp,TX
133.6338028907776,99.94190221068632,UDP 100M DL (TX),udp,TX
134.63392806053162,100.01709807418011,UDP 100M DL (TX),udp,TX
135.6339249610901,100.00200230791116,UDP 100M DL (TX),udp,TX
136.63386487960815,99.98769782538619,UDP 100M DL (TX),udp,TX
137.6338438987732,99.99620264809668,UDP 100M DL (TX),udp,TX
138.63384199142456,99.99380035927537,UDP 100M DL (TX),udp,TX
139.63396787643433,100.00799937479147,UDP 100M DL (TX),udp,TX
140.63384795188904,99.99840118455948,UDP 100M DL (TX),udp,TX
141.63392806053162,99.99909941361517,UDP 100M DL (TX),udp,TX
142.63389706611633,100.0740013712642,UDP 100M DL (TX),udp,TX
143.6338450908661,99.93380252163921,UDP 100M DL (TX),udp,TX
144.63384294509888,99.9906003267827,UDP 100M DL (TX),udp,TX
145.63389706611633,100.01100198483063,UDP 100M DL (TX),udp,TX
146.63385105133057,99.98489677141792,UDP 100M DL (TX),udp,TX
147.63385796546936,100.02380172659252,UDP 100M DL (TX),udp,TX
148.63389205932617,99.98940237333264,UDP 100M DL (TX),udp,TX
149.63385391235352,99.99970045799525,UDP 100M DL (TX),udp,TX
150.63392090797424,100.0058039189582,UDP 100M DL (TX),udp,TX
151.63392686843872,100.04630630784091,UDP 100M DL (TX),udp,TX
152.63384008407593,99.95030123848605,UDP 100M DL (TX),udp,TX
153.63388109207153,99.98970037719366,UDP 100M DL (TX),udp,TX
154.63384008407593,100.01690134502189,UDP 100M DL (TX),udp,TX
155.63383889198303,99.98049883738727,UDP 100M DL (TX),udp,TX
156.63388991355896,100.01529773317404,UDP 100M DL (TX),udp,TX
157.63390493392944,99.98739983346162,UDP 100M DL (TX),udp,TX
158.633887052536,100.01370013384405,UDP 100M DL (TX),udp,TX
159.6339180469513,99.98739983346162,UDP 100M DL (TX),udp,TX
160.63389992713928,100.01759884280234,UDP 100M DL (TX),udp,TX
161.63389205932617,99.99230479639925,UDP 100M DL (TX),udp,TX
162.63392901420593,99.99399779036563,UDP 100M DL (TX),udp,TX
163.6338450908661,100.01440354815566,UDP 100M DL (TX),udp,TX
164.633868932724,99.9906956801918,UDP 100M DL (TX),udp,TX
165.63392210006714,99.99930207427438,UDP 100M DL (TX),udp,TX
166.63388895988464,99.99030235041108,UDP 100M DL (TX),udp,TX
167.63384199142456,100.00669804318561,UDP 100M DL (TX),udp,TX
168.63383889198303,99.99479604883183,UDP 100M DL (TX),udp,TX
169.63385105133057,100.00719875973664,UDP 100M DL (TX),udp,TX
170.63384294509888,99.99620264809668,UDP 100M DL (TX),udp,TX
171.63384103775024,99.99620264809668,UDP 100M DL (TX),udp,TX
172.63383889198303,100.00489788938356,UDP 100M DL (TX),udp,TX
173.63385391235352,99.9955947062707,UDP 100M DL (TX),udp,TX
174.63385796546936,100.000105742856,UDP 100M DL (TX),udp,TX
175.63392090797424,99.99999947164329,UDP 100M DL (TX),udp,TX
176.63388109207153,100.0118999151629,UDP 100M DL (TX),udp,TX
177.63392996788025,99.98329891839207,UDP 100M DL (TX),udp,TX
178.63384890556335,100.02319363886564,UDP 100M DL (TX),udp,TX
179.63388895988464,99.97919863971993,UDP 100M DL (TX),udp,TX
180.63384890556335,99.99940245651698,UDP 100M DL (TX),udp,TX
181.6339190006256,99.998199371789,UDP 100M DL (TX),udp,TX
182.63389706611633,100.01180081808216,UDP 100M DL (TX),udp,TX
183.63384294509888,99.9939974041505,UDP 100M DL (TX),udp,TX
184.63386297225952,100.00070175597199,UDP 100M DL (TX),udp,TX
185.63391995429993,100.00370120513183,UDP 100M DL (TX),udp,TX
186.63384294509888,100.00170307400094,UDP 100M DL (TX),udp,TX
187.63388991355896,99.99930207427438,UDP 100M DL (TX),udp,TX
188.63385701179504,100.00650133448379,UDP 100M DL (TX),udp,TX
189.63385605812073,100.00229910615772,UDP 100M DL (TX),udp,TX
190.63389706611633,99.98080176096292,UDP 100M DL (TX),udp,TX
191.63384103775024,100.01879416557708,UDP 100M DL (TX),udp,TX
192.6339249610901,99.98359691686963,UDP 100M DL (TX),udp,TX
193.63384103775024,100.01490428979609,UDP 100M DL (TX),udp,TX
194.633859872818,100.00129777619263,UDP 100M DL (TX),udp,TX
195.63391089439392,99.99809804359145,UDP 100M DL (TX),udp,TX
196.63388991355896,99.99610132394567,UDP 100M DL (TX),udp,TX
197.63388895988464,99.99650066149566,UDP 100M DL (TX),udp,TX
198.63388395309448,100.00880227862109,UDP 100M DL (TX),udp,TX
199.633859872818,99.98670253929912,UDP 100M DL (TX),udp,TX
200.63384890556335,99.99479604883183,UDP 100M DL (TX),udp,TX
201.6338610649109,100.00669804318561,UDP 100M DL (TX),udp,TX
202.63385796546936,99.99610132394567,UDP 100M DL (TX),udp,TX
203.63385701179504,100.01799826898885,UDP 100M DL (TX),udp,TX
204.6338450908661,99.98200052745828,UDP 100M DL (TX),udp,TX
205.63388109207153,99.9997014373894,UDP 100M DL (TX),udp,TX
